mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7928249835968018,0.05752215362512737,0.050621414184570314,0.003166752440081442,8,2,100,"{'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 100}",0.8155339805825242,0.8256880733944955,0.8108108108108109,0.84,0.7850467289719626,0.8154159187519585,0.018184624590292554,7
1.1345755577087402,0.018315043411010368,0.06868190765380859,0.0013391834224032435,8,2,150,"{'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 150}",0.8155339805825242,0.8,0.8108108108108109,0.8514851485148515,0.7924528301886793,0.8140565540193732,0.020385901590976183,8
0.37394394874572756,0.006252611172624537,0.027564811706542968,0.0007913752357873549,8,5,50,"{'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 50}",0.7735849056603774,0.8256880733944955,0.7894736842105263,0.7962962962962963,0.7889908256880734,0.7948067570499538,0.01713772520643308,12
0.7890938758850098,0.05366083801373854,0.05850720405578613,0.020110968604624243,8,5,100,"{'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 100}",0.803921568627451,0.8333333333333334,0.7964601769911505,0.8301886792452831,0.8148148148148148,0.8157437146024066,0.01435640974412891,5
1.1304622173309327,0.026174334623670716,0.06918034553527833,0.0027687241145959774,8,5,150,"{'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 150}",0.8118811881188119,0.8380952380952381,0.8035714285714286,0.8431372549019608,0.8037383177570093,0.8200846854888898,0.01710549457267643,4
0.40860567092895506,0.005003204934441884,0.02824692726135254,0.0008864646367567891,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.7727272727272727,0.8571428571428571,0.8080808080808081,0.7872340425531915,0.7961165048543689,0.8042602970716995,0.0288503302683508,10
0.792567253112793,0.007701976660832023,0.04877972602844238,0.001104983698810663,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7777777777777778,0.8571428571428571,0.7920792079207921,0.8,0.7843137254901961,0.8022627136663246,0.02843354382563984,11
1.2353343486785888,0.0533537277851702,0.07109904289245605,0.001628232677963079,,2,150,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}",0.7777777777777778,0.8571428571428571,0.7843137254901961,0.8125,0.8118811881188119,0.8087231097059286,0.028007648624423995,9
0.3965594291687012,0.013937372130893052,0.02709965705871582,0.0013549848887493884,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.845360824742268,0.8484848484848485,0.8,0.8514851485148515,0.819047619047619,0.8328756881579175,0.02008911597653738,1
0.7884167671203614,0.02063667425701593,0.04974761009216309,0.001198882552386893,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.8333333333333334,0.8484848484848485,0.7884615384615384,0.8514851485148515,0.8113207547169812,0.8266171247023106,0.02379727339949259,3
1.2165599822998048,0.08019825482621815,0.06992454528808593,0.000853746743082609,,5,150,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}",0.8297872340425532,0.86,0.8,0.8514851485148515,0.8113207547169812,0.830518627454877,0.022843932271902262,2
